year,province_code,nuts3_code,harmonised_name,marriages_civil,marriages_religious
2013,IT_108,ITC4D,Monza e della Brianza,1150,1048
2013,IT_109,ITI35,Fermo,172,332
2013,IT_110,ITF48,BarlettaAndriaTrani,303,1247
2013,IT_111,ITG2H,Sud Sardegna,490,561
2014,IT_001,ITC11,Torino,3298,2628
2014,IT_002,ITC12,Vercelli,268,186
2014,IT_003,ITC15,Novara,650,494
2014,IT_004,ITC16,Cuneo,851,998
2014,IT_005,ITC17,Asti,400,316
2014,IT_006,ITC18,Alessandria,694,539
2014,IT_007,ITC20,Valle dAosta,208,161
2014,IT_008,ITC31,Imperia,369,257
2014,IT_009,ITC32,Savona,559,398
2014,IT_010,ITC33,Genova,1462,1021
2014,IT_011,ITC34,La Spezia,494,304
2014,IT_012,ITC41,Varese,1336,1213
2014,IT_013,ITC42,Como,991,841
2014,IT_014,ITC44,Sondrio,219,267
2014,IT_015,ITC4C,Milano,4529,2749
2014,IT_016,ITC46,Bergamo,1485,1513
2014,IT_017,ITC47,Brescia,1743,1742
2014,IT_018,ITC48,Pavia,896,597
2014,IT_019,ITC4A,Cremona,527,416
2014,IT_020,ITC4B,Mantova,578,456
2014,IT_021,ITH10,Bolzano,1292,745
2014,IT_022,ITH20,Trento,808,688
2014,IT_023,ITH31,Verona,1818,1510
2014,IT_024,ITH32,Vicenza,1056,1254
2014,IT_025,ITH33,Belluno,249,254
2014,IT_026,ITH34,Treviso,1164,1250
2014,IT_027,ITH35,Venezia,1670,1093
2014,IT_028,ITH36,Padova,1170,1322
2014,IT_029,ITH37,Rovigo,272,325
2014,IT_030,ITH42,Udine,858,620
2014,IT_031,ITH43,Gorizia,240,158
2014,IT_032,ITH44,Trieste,490,226
2014,IT_033,ITH51,Piacenza,419,421
2014,IT_034,ITH52,Parma,666,477
2014,IT_035,ITH53,Reggio nellEmilia,845,555
2014,IT_036,ITH54,Modena,997,762
2014,IT_037,ITH55,Bologna,1747,931
2014,IT_038,ITH56,Ferrara,600,334
2014,IT_039,ITH57,Ravenna,732,428
2014,IT_040,ITH58,ForliCesena,573,452
2014,IT_041,ITI31,Pesaro e Urbino,405,520
2014,IT_042,ITI32,Ancona,576,701
2014,IT_043,ITI33,Macerata,300,536
2014,IT_044,ITI34,Ascoli Piceno,211,401
2014,IT_045,ITI11,MassaCarrara,351,235
2014,IT_046,ITI12,Lucca,755,513
2014,IT_047,ITI13,Pistoia,395,320
2014,IT_048,ITI14,Firenze,1922,1215
2014,IT_049,ITI16,Livorno,703,318
2014,IT_050,ITI17,Pisa,756,614
2014,IT_051,ITI18,Arezzo,565,542
2014,IT_052,ITI19,Siena,618,426
2014,IT_053,ITI1A,Grosseto,430,235
2014,IT_054,ITI21,Perugia,854,1160
2014,IT_055,ITI22,Terni,318,308
2014,IT_056,ITI41,Viterbo,457,480
2014,IT_057,ITI42,Rieti,188,253
2014,IT_058,ITI43,Roma,6623,5867
2014,IT_059,ITI44,Latina,673,1036
2014,IT_060,ITI45,Frosinone,440,1035
2014,IT_061,ITF31,Caserta,781,2684
2014,IT_062,ITF32,Benevento,246,919
2014,IT_063,ITF33,Napoli,3642,8623
2014,IT_064,ITF34,Avellino,264,1286
2014,IT_065,ITF35,Salerno,1258,3736
2014,IT_066,ITF11,LAquila,291,551
2014,IT_067,ITF12,Teramo,294,639
2014,IT_068,ITF13,Pescara,355,578
2014,IT_069,ITF14,Chieti,366,765
2014,IT_070,ITF22,Campobasso,169,476
2014,IT_071,ITF46,Foggia,498,1824
2014,IT_072,ITF47,Bari,1216,3396
2014,IT_073,ITF43,Taranto,550,1472
2014,IT_074,ITF44,Brindisi,455,1004
2014,IT_075,ITF45,Lecce,775,2170
2014,IT_076,ITF51,Potenza,175,1142
2014,IT_077,ITF52,Matera,125,610
2014,IT_078,ITF61,Cosenza,516,2260
2014,IT_079,ITF63,Catanzaro,301,1140
2014,IT_080,ITF65,Reggio di Calabria,384,1958
2014,IT_081,ITG11,Trapani,367,1337
2014,IT_082,ITG12,Palermo,1374,3680
2014,IT_083,ITG13,Messina,677,1734
2014,IT_084,ITG14,Agrigento,321,1432
2014,IT_085,ITG15,Caltanissetta,219,654
2014,IT_086,ITG16,Enna,172,521
2014,IT_087,ITG17,Catania,1459,2592
2014,IT_088,ITG18,Ragusa,367,957
2014,IT_089,ITG19,Siracusa,526,1006
2014,IT_090,ITG2D,Sassari,747,793
2014,IT_091,ITG2E,Nuoro,196,372
2014,IT_092,ITG2F,Cagliari,642,650
2014,IT_093,ITH41,Pordenone,494,397
2014,IT_094,ITF21,Isernia,69,205
2014,IT_095,ITG2G,Oristano,225,244
2014,IT_096,ITC13,Biella,240,202
2014,IT_097,ITC43,Lecco,471,622
2014,IT_098,ITC49,Lodi,289,250
2014,IT_099,ITH59,Rimini,524,462
2014,IT_100,ITI15,Prato,418,299
2014,IT_101,ITF62,Crotone,134,649
2014,IT_102,ITF64,Vibo Valentia,84,582
2014,IT_103,ITC14,VerbanoCusioOssola,283,286
2014,IT_108,ITC4D,Monza e della Brianza,1067,1156
2014,IT_109,ITI35,Fermo,168,322
2014,IT_110,ITF48,BarlettaAndriaTrani,335,1285
2014,IT_111,ITG2H,Sud Sardegna,419,516
2015,IT_001,ITC11,Torino,3736,2543
2015,IT_002,ITC12,Vercelli,314,238
2015,IT_003,ITC15,Novara,749,526
2015,IT_004,ITC16,Cuneo,907,984
2015,IT_005,ITC17,Asti,429,351
2015,IT_006,ITC18,Alessandria,846,546
2015,IT_007,ITC20,Valle dAosta,246,134
2015,IT_008,ITC31,Imperia,413,236
2015,IT_009,ITC32,Savona,661,382
2015,IT_010,ITC33,Genova,1597,970
2015,IT_011,ITC34,La Spezia,462,319
2015,IT_012,ITC41,Varese,1524,1108
2015,IT_013,ITC42,Como,1081,889
2015,IT_014,ITC44,Sondrio,246,276
2015,IT_015,ITC4C,Milano,4836,2637
2015,IT_016,ITC46,Bergamo,1637,1526
2015,IT_017,ITC47,Brescia,1961,1746
2015,IT_018,ITC48,Pavia,942,565
2015,IT_019,ITC4A,Cremona,639,454
2015,IT_020,ITC4B,Mantova,657,461
2015,IT_021,ITH10,Bolzano,1419,684
2015,IT_022,ITH20,Trento,885,677
2015,IT_023,ITH31,Verona,1890,1502
2015,IT_024,ITH32,Vicenza,1151,1185
2015,IT_025,ITH33,Belluno,287,216
2015,IT_026,ITH34,Treviso,1308,1299
2015,IT_027,ITH35,Venezia,1758,1032
2015,IT_028,ITH36,Padova,1272,1369
2015,IT_029,ITH37,Rovigo,368,285
2015,IT_030,ITH42,Udine,907,634
2015,IT_031,ITH43,Gorizia,258,145
2015,IT_032,ITH44,Trieste,562,207
2015,IT_033,ITH51,Piacenza,499,413
2015,IT_034,ITH52,Parma,672,543
2015,IT_035,ITH53,Reggio nellEmilia,870,529
2015,IT_036,ITH54,Modena,1124,763
2015,IT_037,ITH55,Bologna,1911,895
2015,IT_038,ITH56,Ferrara,618,338
2015,IT_039,ITH57,Ravenna,733,423
2015,IT_040,ITH58,ForliCesena,635,468
2015,IT_041,ITI31,Pesaro e Urbino,485,476
2015,IT_042,ITI32,Ancona,570,668
2015,IT_043,ITI33,Macerata,337,542
2015,IT_044,ITI34,Ascoli Piceno,239,428
2015,IT_045,ITI11,MassaCarrara,372,233
2015,IT_046,ITI12,Lucca,812,531
2015,IT_047,ITI13,Pistoia,485,337
2015,IT_048,ITI14,Firenze,1969,1137
2015,IT_049,ITI16,Livorno,721,330
2015,IT_050,ITI17,Pisa,701,539
2015,IT_051,ITI18,Arezzo,600,506
2015,IT_052,ITI19,Siena,616,433
2015,IT_053,ITI1A,Grosseto,476,265
2015,IT_054,ITI21,Perugia,961,1047
2015,IT_055,ITI22,Terni,319,291
2015,IT_056,ITI41,Viterbo,585,532
2015,IT_057,ITI42,Rieti,185,223
2015,IT_058,ITI43,Roma,6811,5550
2015,IT_059,ITI44,Latina,723,1045
2015,IT_060,ITI45,Frosinone,481,989
2015,IT_061,ITF31,Caserta,855,2748
2015,IT_062,ITF32,Benevento,261,944
2015,IT_063,ITF33,Napoli,3687,8389
2015,IT_064,ITF34,Avellino,317,1278
2015,IT_065,ITF35,Salerno,1394,3676
2015,IT_066,ITF11,LAquila,302,567
2015,IT_067,ITF12,Teramo,302,591
2015,IT_068,ITF13,Pescara,408,566
2015,IT_069,ITF14,Chieti,392,743
2015,IT_070,ITF22,Campobasso,187,416
2015,IT_071,ITF46,Foggia,451,1726
2015,IT_072,ITF47,Bari,1247,3294
2015,IT_073,ITF43,Taranto,487,1438
2015,IT_074,ITF44,Brindisi,411,920
2015,IT_075,ITF45,Lecce,813,1953
2015,IT_076,ITF51,Potenza,202,1088
2015,IT_077,ITF52,Matera,138,635
2015,IT_078,ITF61,Cosenza,538,2262
2015,IT_079,ITF63,Catanzaro,342,1145
2015,IT_080,ITF65,Reggio di Calabria,437,1937
2015,IT_081,ITG11,Trapani,441,1388
2015,IT_082,ITG12,Palermo,1673,3821
2015,IT_083,ITG13,Messina,819,1838
2015,IT_084,ITG14,Agrigento,358,1506
2015,IT_085,ITG15,Caltanissetta,180,592
2015,IT_086,ITG16,Enna,153,509
2015,IT_087,ITG17,Catania,1551,2916
2015,IT_088,ITG18,Ragusa,372,925
2015,IT_089,ITG19,Siracusa,591,1005
2015,IT_090,ITG2D,Sassari,725,836
2015,IT_091,ITG2E,Nuoro,220,360
2015,IT_092,ITG2F,Cagliari,707,642
2015,IT_093,ITH41,Pordenone,476,363
2015,IT_094,ITF21,Isernia,60,191
2015,IT_095,ITG2G,Oristano,204,223
2015,IT_096,ITC13,Biella,317,194
2015,IT_097,ITC43,Lecco,494,562
2015,IT_098,ITC49,Lodi,303,226
2015,IT_099,ITH59,Rimini,569,453
2015,IT_100,ITI15,Prato,395,299
2015,IT_101,ITF62,Crotone,130,650
2015,IT_102,ITF64,Vibo Valentia,102,606
2015,IT_103,ITC14,VerbanoCusioOssola,374,272
2015,IT_108,ITC4D,Monza e della Brianza,1219,1063
2015,IT_109,ITI35,Fermo,169,350
2015,IT_110,ITF48,BarlettaAndriaTrani,379,1098
2015,IT_111,ITG2H,Sud Sardegna,434,529
2016,IT_001,ITC11,Torino,3935,2460
2016,IT_002,ITC12,Vercelli,309,201
2016,IT_003,ITC15,Novara,771,490
2016,IT_004,ITC16,Cuneo,1074,959
2016,IT_005,ITC17,Asti,446,337
2016,IT_006,ITC18,Alessandria,899,549
2016,IT_007,ITC20,Valle dAosta,277,116
2016,IT_008,ITC31,Imperia,402,241
2016,IT_009,ITC32,Savona,648,387
2016,IT_010,ITC33,Genova,1618,899
2016,IT_011,ITC34,La Spezia,531,306
2016,IT_012,ITC41,Varese,1644,1210
2016,IT_013,ITC42,Como,1279,796
2016,IT_014,ITC44,Sondrio,261,275
2016,IT_015,ITC4C,Milano,4964,2584
2016,IT_016,ITC46,Bergamo,1834,1503
2016,IT_017,ITC47,Brescia,2117,1744
2016,IT_018,ITC48,Pavia,1026,648
2016,IT_019,ITC4A,Cremona,667,488
2016,IT_020,ITC4B,Mantova,724,472
2016,IT_021,ITH10,Bolzano,1470,665
2016,IT_022,ITH20,Trento,958,649
2016,IT_023,ITH31,Verona,2026,1538
2016,IT_024,ITH32,Vicenza,1253,1197
2016,IT_025,ITH33,Belluno,293,211
2016,IT_026,ITH34,Treviso,1345,1213
2016,IT_027,ITH35,Venezia,1876,1072
2016,IT_028,ITH36,Padova,1337,1240
2016,IT_029,ITH37,Rovigo,336,260
2016,IT_030,ITH42,Udine,953,595
2016,IT_031,ITH43,Gorizia,271,158
2016,IT_032,ITH44,Trieste,538,190
2016,IT_033,ITH51,Piacenza,543,389
2016,IT_034,ITH52,Parma,809,502
2016,IT_035,ITH53,Reggio nellEmilia,932,508
2016,IT_036,ITH54,Modena,1106,837
2016,IT_037,ITH55,Bologna,2009,896
2016,IT_038,ITH56,Ferrara,659,331
2016,IT_039,ITH57,Ravenna,729,487
2016,IT_040,ITH58,ForliCesena,640,457
2016,IT_041,ITI31,Pesaro e Urbino,522,456
2016,IT_042,ITI32,Ancona,622,642
2016,IT_043,ITI33,Macerata,381,608
2016,IT_044,ITI34,Ascoli Piceno,259,441
2016,IT_045,ITI11,MassaCarrara,372,262
2016,IT_046,ITI12,Lucca,886,493
2016,IT_047,ITI13,Pistoia,495,346
2016,IT_048,ITI14,Firenze,2016,1250
2016,IT_049,ITI16,Livorno,839,293
2016,IT_050,ITI17,Pisa,885,572
2016,IT_051,ITI18,Arezzo,671,500
2016,IT_052,ITI19,Siena,669,394
2016,IT_053,ITI1A,Grosseto,534,251
2016,IT_054,ITI21,Perugia,938,1098
2016,IT_055,ITI22,Terni,325,315
2016,IT_056,ITI41,Viterbo,585,467
2016,IT_057,ITI42,Rieti,260,236
2016,IT_058,ITI43,Roma,7402,5449
2016,IT_059,ITI44,Latina,747,968
2016,IT_060,ITI45,Frosinone,565,956
2016,IT_061,ITF31,Caserta,977,2749
2016,IT_062,ITF32,Benevento,254,1034
2016,IT_063,ITF33,Napoli,4271,9133
2016,IT_064,ITF34,Avellino,358,1341
2016,IT_065,ITF35,Salerno,1518,3771
2016,IT_066,ITF11,LAquila,412,547
2016,IT_067,ITF12,Teramo,355,616
2016,IT_068,ITF13,Pescara,475,508
2016,IT_069,ITF14,Chieti,458,766
2016,IT_070,ITF22,Campobasso,239,503
2016,IT_071,ITF46,Foggia,484,1853
2016,IT_072,ITF47,Bari,1528,3451
2016,IT_073,ITF43,Taranto,607,1388
2016,IT_074,ITF44,Brindisi,437,990
2016,IT_075,ITF45,Lecce,996,2087
2016,IT_076,ITF51,Potenza,225,1145
2016,IT_077,ITF52,Matera,170,651
2016,IT_078,ITF61,Cosenza,612,2346
2016,IT_079,ITF63,Catanzaro,356,1091
2016,IT_080,ITF65,Reggio di Calabria,724,1933
2016,IT_081,ITG11,Trapani,416,1470
2016,IT_082,ITG12,Palermo,1722,3819
2016,IT_083,ITG13,Messina,825,1855
2016,IT_084,ITG14,Agrigento,386,1643
2016,IT_085,ITG15,Caltanissetta,216,585
2016,IT_086,ITG16,Enna,148,540
2016,IT_087,ITG17,Catania,1702,3044
2016,IT_088,ITG18,Ragusa,368,962
2016,IT_089,ITG19,Siracusa,568,919
2016,IT_090,ITG2D,Sassari,810,777
2016,IT_091,ITG2E,Nuoro,231,413
2016,IT_092,ITG2F,Cagliari,784,614
2016,IT_093,ITH41,Pordenone,512,352
2016,IT_094,ITF21,Isernia,94,226
2016,IT_095,ITG2G,Oristano,254,250
2016,IT_096,ITC13,Biella,339,190
2016,IT_097,ITC43,Lecco,636,578
2016,IT_098,ITC49,Lodi,332,282
2016,IT_099,ITH59,Rimini,648,417
2016,IT_100,ITI15,Prato,415,270
2016,IT_101,ITF62,Crotone,153,640
2016,IT_102,ITF64,Vibo Valentia,158,702
2016,IT_103,ITC14,VerbanoCusioOssola,379,298
2016,IT_108,ITC4D,Monza e della Brianza,1241,1073
2016,IT_109,ITI35,Fermo,197,331
2016,IT_110,ITF48,BarlettaAndriaTrani,383,1148
2016,IT_111,ITG2H,Sud Sardegna,530,515
2017,IT_001,ITC11,Torino,3830,2117
2017,IT_002,ITC12,Vercelli,349,177
2017,IT_003,ITC15,Novara,714,428
2017,IT_004,ITC16,Cuneo,1011,859
2017,IT_005,ITC17,Asti,511,291
2017,IT_006,ITC18,Alessandria,861,435
2017,IT_007,ITC20,Valle dAosta,249,100
2017,IT_008,ITC31,Imperia,469,220
2017,IT_009,ITC32,Savona,673,313
2017,IT_010,ITC33,Genova,1710,853
2017,IT_011,ITC34,La Spezia,459,280
2017,IT_012,ITC41,Varese,1578,1034
2017,IT_013,ITC42,Como,1141,732
2017,IT_014,ITC44,Sondrio,278,249
2017,IT_015,ITC4C,Milano,5033,2224
2017,IT_016,ITC46,Bergamo,1773,1385
2017,IT_017,ITC47,Brescia,2040,1452
2017,IT_018,ITC48,Pavia,1110,537
2017,IT_019,ITC4A,Cremona,570,368
2017,IT_020,ITC4B,Mantova,708,404
2017,IT_021,ITH10,Bolzano,1462,701
2017,IT_022,ITH20,Trento,949,521
2017,IT_023,ITH31,Verona,2117,1301
2017,IT_024,ITH32,Vicenza,1226,1086
2017,IT_025,ITH33,Belluno,312,192
2017,IT_026,ITH34,Treviso,1384,1020
2017,IT_027,ITH35,Venezia,1796,844
2017,IT_028,ITH36,Padova,1341,1073
2017,IT_029,ITH37,Rovigo,335,243
2017,IT_030,ITH42,Udine,882,522
2017,IT_031,ITH43,Gorizia,264,129
2017,IT_032,ITH44,Trieste,517,188
2017,IT_033,ITH51,Piacenza,513,368
2017,IT_034,ITH52,Parma,788,441
2017,IT_035,ITH53,Reggio nellEmilia,937,519
2017,IT_036,ITH54,Modena,1200,644
2017,IT_037,ITH55,Bologna,1881,829
2017,IT_038,ITH56,Ferrara,691,269
2017,IT_039,ITH57,Ravenna,758,326
2017,IT_040,ITH58,ForliCesena,589,386
2017,IT_041,ITI31,Pesaro e Urbino,542,443
2017,IT_042,ITI32,Ancona,631,545
2017,IT_043,ITI33,Macerata,333,477
2017,IT_044,ITI34,Ascoli Piceno,269,358
2017,IT_045,ITI11,MassaCarrara,343,213
2017,IT_046,ITI12,Lucca,893,422
2017,IT_047,ITI13,Pistoia,501,312
2017,IT_048,ITI14,Firenze,1974,1069
2017,IT_049,ITI16,Livorno,858,280
2017,IT_050,ITI17,Pisa,782,494
2017,IT_051,ITI18,Arezzo,645,490
2017,IT_052,ITI19,Siena,734,410
2017,IT_053,ITI1A,Grosseto,521,215
2017,IT_054,ITI21,Perugia,957,966
2017,IT_055,ITI22,Terni,349,257
2017,IT_056,ITI41,Viterbo,609,462
2017,IT_057,ITI42,Rieti,256,219
2017,IT_058,ITI43,Roma,7562,5044
2017,IT_059,ITI44,Latina,873,959
2017,IT_060,ITI45,Frosinone,600,894
2017,IT_061,ITF31,Caserta,962,2594
2017,IT_062,ITF32,Benevento,257,867
2017,IT_063,ITF33,Napoli,4280,7914
2017,IT_064,ITF34,Avellino,330,1140
2017,IT_065,ITF35,Salerno,1446,3390
2017,IT_066,ITF11,LAquila,390,489
2017,IT_067,ITF12,Teramo,324,474
2017,IT_068,ITF13,Pescara,404,510
2017,IT_069,ITF14,Chieti,500,675
2017,IT_070,ITF22,Campobasso,206,458
2017,IT_071,ITF46,Foggia,546,1677
2017,IT_072,ITF47,Bari,1554,3329
2017,IT_073,ITF43,Taranto,565,1269
2017,IT_074,ITF44,Brindisi,523,961
2017,IT_075,ITF45,Lecce,1007,1967
2017,IT_076,ITF51,Potenza,243,1084
2017,IT_077,ITF52,Matera,163,567
2017,IT_078,ITF61,Cosenza,595,1971
2017,IT_079,ITF63,Catanzaro,333,991
2017,IT_080,ITF65,Reggio di Calabria,532,1775
2017,IT_081,ITG11,Trapani,421,1161
2017,IT_082,ITG12,Palermo,1742,3680
2017,IT_083,ITG13,Messina,810,1693
2017,IT_084,ITG14,Agrigento,483,1440
2017,IT_085,ITG15,Caltanissetta,244,615
2017,IT_086,ITG16,Enna,182,497
2017,IT_087,ITG17,Catania,1602,2823
2017,IT_088,ITG18,Ragusa,388,851
2017,IT_089,ITG19,Siracusa,641,885
2017,IT_090,ITG2D,Sassari,780,729
2017,IT_091,ITG2E,Nuoro,236,375
2017,IT_092,ITG2F,Cagliari,707,566
2017,IT_093,ITH41,Pordenone,493,325
2017,IT_094,ITF21,Isernia,84,185
2017,IT_095,ITG2G,Oristano,226,225
2017,IT_096,ITC13,Biella,349,182
2017,IT_097,ITC43,Lecco,648,569
2017,IT_098,ITC49,Lodi,324,238
2017,IT_099,ITH59,Rimini,565,360
2017,IT_100,ITI15,Prato,395,221
2017,IT_101,ITF62,Crotone,124,563
2017,IT_102,ITF64,Vibo Valentia,134,605
2017,IT_103,ITC14,VerbanoCusioOssola,404,283
2017,IT_108,ITC4D,Monza e della Brianza,1215,837
2017,IT_109,ITI35,Fermo,210,246
2017,IT_110,ITF48,BarlettaAndriaTrani,403,1251
2017,IT_111,ITG2H,Sud Sardegna,504,476
2018,IT_001,ITC11,Torino,3924,2072
2018,IT_002,ITC12,Vercelli,345,146
2018,IT_003,ITC15,Novara,764,409
2018,IT_004,ITC16,Cuneo,1076,907
2018,IT_005,ITC17,Asti,515,292
2018,IT_006,ITC18,Alessandria,875,433
2018,IT_007,ITC20,Valle dAosta,290,138
2018,IT_008,ITC31,Imperia,469,217
2018,IT_009,ITC32,Savona,671,282
2018,IT_010,ITC33,Genova,1717,863
2018,IT_011,ITC34,La Spezia,521,294
2018,IT_012,ITC41,Varese,1697,1009
2018,IT_013,ITC42,Como,1214,767
2018,IT_014,ITC44,Sondrio,324,244
2018,IT_015,ITC4C,Milano,5245,2233
2018,IT_016,ITC46,Bergamo,1778,1347
2018,IT_017,ITC47,Brescia,2205,1470
2018,IT_018,ITC48,Pavia,1125,535
2018,IT_019,ITC4A,Cremona,629,403
2018,IT_020,ITC4B,Mantova,719,423
2018,IT_021,ITH10,Bolzano,1601,746
2018,IT_022,ITH20,Trento,954,558
2018,IT_023,ITH31,Verona,2173,1357
2018,IT_024,ITH32,Vicenza,1300,1068
2018,IT_025,ITH33,Belluno,354,210
2018,IT_026,ITH34,Treviso,1492,1031
2018,IT_027,ITH35,Venezia,1828,878
2018,IT_028,ITH36,Padova,1335,1124
2018,IT_029,ITH37,Rovigo,358,261
2018,IT_030,ITH42,Udine,925,471
2018,IT_031,ITH43,Gorizia,286,127
2018,IT_032,ITH44,Trieste,545,193
2018,IT_033,ITH51,Piacenza,513,321
2018,IT_034,ITH52,Parma,752,416
2018,IT_035,ITH53,Reggio nellEmilia,1006,492
2018,IT_036,ITH54,Modena,1214,620
2018,IT_037,ITH55,Bologna,2058,750
2018,IT_038,ITH56,Ferrara,741,273
2018,IT_039,ITH57,Ravenna,809,349
2018,IT_040,ITH58,ForliCesena,647,396
2018,IT_041,ITI31,Pesaro e Urbino,558,446
2018,IT_042,ITI32,Ancona,652,529
2018,IT_043,ITI33,Macerata,447,515
2018,IT_044,ITI34,Ascoli Piceno,287,382
2018,IT_045,ITI11,MassaCarrara,372,235
2018,IT_046,ITI12,Lucca,925,411
2018,IT_047,ITI13,Pistoia,513,279
2018,IT_048,ITI14,Firenze,1961,964
2018,IT_049,ITI16,Livorno,825,256
2018,IT_050,ITI17,Pisa,879,466
2018,IT_051,ITI18,Arezzo,660,484
2018,IT_052,ITI19,Siena,760,381
2018,IT_053,ITI1A,Grosseto,527,208
2018,IT_054,ITI21,Perugia,1087,928
2018,IT_055,ITI22,Terni,334,254
2018,IT_056,ITI41,Viterbo,602,449
2018,IT_057,ITI42,Rieti,291,199
2018,IT_058,ITI43,Roma,7536,4854
2018,IT_059,ITI44,Latina,888,895
2018,IT_060,ITI45,Frosinone,564,889
2018,IT_061,ITF31,Caserta,1040,2882
2018,IT_062,ITF32,Benevento,250,737
2018,IT_063,ITF33,Napoli,4286,8013
2018,IT_064,ITF34,Avellino,372,1152
2018,IT_065,ITF35,Salerno,1437,3469
2018,IT_066,ITF11,LAquila,373,525
2018,IT_067,ITF12,Teramo,428,590
2018,IT_068,ITF13,Pescara,434,427
2018,IT_069,ITF14,Chieti,461,674
2018,IT_070,ITF22,Campobasso,213,480
2018,IT_071,ITF46,Foggia,572,1690
2018,IT_072,ITF47,Bari,1564,3430
2018,IT_073,ITF43,Taranto,641,1257
2018,IT_074,ITF44,Brindisi,546,946
2018,IT_075,ITF45,Lecce,1088,1967
2018,IT_076,ITF51,Potenza,273,1148
2018,IT_077,ITF52,Matera,165,556
2018,IT_078,ITF61,Cosenza,598,1975
2018,IT_079,ITF63,Catanzaro,321,889
2018,IT_080,ITF65,Reggio di Calabria,563,2003
2018,IT_081,ITG11,Trapani,504,1321
2018,IT_082,ITG12,Palermo,1723,3820
2018,IT_083,ITG13,Messina,837,1686
2018,IT_084,ITG14,Agrigento,400,1525
2018,IT_085,ITG15,Caltanissetta,306,739
2018,IT_086,ITG16,Enna,156,495
2018,IT_087,ITG17,Catania,1664,2961
2018,IT_088,ITG18,Ragusa,415,846
2018,IT_089,ITG19,Siracusa,669,933
2018,IT_090,ITG2D,Sassari,830,709
2018,IT_091,ITG2E,Nuoro,226,315
2018,IT_092,ITG2F,Cagliari,729,542
2018,IT_093,ITH41,Pordenone,484,335
2018,IT_094,ITF21,Isernia,75,213
2018,IT_095,ITG2G,Oristano,239,217
2018,IT_096,ITC13,Biella,383,170
2018,IT_097,ITC43,Lecco,670,549
2018,IT_098,ITC49,Lodi,336,222
2018,IT_099,ITH59,Rimini,604,402
2018,IT_100,ITI15,Prato,411,220
2018,IT_101,ITF62,Crotone,143,630
2018,IT_102,ITF64,Vibo Valentia,151,640
2018,IT_103,ITC14,VerbanoCusioOssola,379,284
